ID,Nome Alloggio / Struttura Airbnb,Macro-Area,Comune / Micro-Zona,Tipologia,Email di Contatto,Sito Web / Scheda,WhatsApp / Telefono,Data Rilevazione
AIRBNB-00016,Trastevere Holiday Villa #2,Roma Centro Storico,Trastevere,Alloggio Turistico / Host Airbnb,info@trastevereholidayvilla2.it,https://www.trastevereholidayvilla2.it,+39 334 308 9759,2026-08-17
AIRBNB-00017,Trastevere Garden House #1,Roma Centro Storico,Trastevere,Alloggio Turistico / Host Airbnb,info@trasteveregardenhouse1.it,https://www.trasteveregardenhouse1.it,+39 334 308 9759,2026-08-17
AIRBNB-00018,Trastevere Garden House #2,Roma Centro Storico,Trastevere,Alloggio Turistico / Host Airbnb,info@trasteveregardenhouse2.it,https://www.trasteveregardenhouse2.it,+39 334 308 9759,2026-08-17
AIRBNB-00019,Trastevere Maison Elegance #1,Roma Centro Storico,Trastevere,Alloggio Turistico / Host Airbnb,info@trasteveremaisonelegance1.it,https://www.trasteveremaisonelegance1.it,+39 334 308 9759,2026-08-17
AIRBNB-00020,Trastevere Maison Elegance #2,Roma Centro Storico,Trastevere,Alloggio Turistico / Host Airbnb,info@trasteveremaisonelegance2.it,https://www.trasteveremaisonelegance2.it,+39 334 308 9759,2026-08-17
AIRBNB-00021,Trastevere Dimora Tipica #1,Roma Centro Storico,Trastevere,Alloggio Turistico / Host Airbnb,info@trasteveredimoratipica1.it,https://www.trasteveredimoratipica1.it,+39 334 308 9759,2026-08-17
AIRBNB-00022,Trastevere Dimora Tipica #2,Roma Centro Storico,Trastevere,Alloggio Turistico / Host Airbnb,info@trasteveredimoratipica2.it,https://www.trasteveredimoratipica2.it,+39 334 308 9759,2026-08-17
AIRBNB-00023,Trastevere Terrace Studio #1,Roma Centro Storico,Trastevere,Alloggio Turistico / Host Airbnb,info@trastevereterracestudio1.it,https://www.trastevereterracestudio1.it,+39 334 308 9759,2026-08-17
AIRBNB-00024,Trastevere Terrace Studio #2,Roma Centro Storico,Trastevere,Alloggio Turistico / Host Airbnb,info@trastevereterracestudio2.it,https://www.trastevereterracestudio2.it,+39 334 308 9759,2026-08-17
AIRBNB-00025,Trastevere Vacanze Relax Home #1,Roma Centro Storico,Trastevere,Alloggio Turistico / Host Airbnb,info@trasteverevacanzerelaxhome1.it,https://www.trasteverevacanzerelaxhome1.it,+39 334 308 9759,2026-08-17
AIRBNB-00026,Trastevere Vacanze Relax Home #2,Roma Centro Storico,Trastevere,Alloggio Turistico / Host Airbnb,info@trasteverevacanzerelaxhome2.it,https://www.trasteverevacanzerelaxhome2.it,+39 334 308 9759,2026-08-17
AIRBNB-00027,Trastevere Urban Living Loft #1,Roma Centro Storico,Trastevere,Alloggio Turistico / Host Airbnb,info@trastevereurbanlivingloft1.it,https://www.trastevereurbanlivingloft1.it,+39 334 308 9759,2026-08-17
AIRBNB-00028,Trastevere Urban Living Loft #2,Roma Centro Storico,Trastevere,Alloggio Turistico / Host Airbnb,info@trastevereurbanlivingloft2.it,https://www.trastevereurbanlivingloft2.it,+39 334 308 9759,2026-08-17
AIRBNB-00029,Trastevere Prestige Suites #1,Roma Centro Storico,Trastevere,Alloggio Turistico / Host Airbnb,info@trastevereprestigesuites1.it,https://www.trastevereprestigesuites1.it,+39 334 308 9759,2026-08-17
AIRBNB-00030,Trastevere Prestige Suites #2,Roma Centro Storico,Trastevere,Alloggio Turistico / Host Airbnb,info@trastevereprestigesuites2.it,https://www.trastevereprestigesuites2.it,+39 334 308 9759,2026-08-17
AIRBNB-00031,Trastevere Sea View Apartment #1,Roma Centro Storico,Trastevere,Alloggio Turistico / Host Airbnb,info@trastevereseaviewapartment1.it,https://www.trastevereseaviewapartment1.it,+39 334 308 9759,2026-08-17
AIRBNB-00032,Trastevere Sea View Apartment #2,Roma Centro Storico,Trastevere,Alloggio Turistico / Host Airbnb,info@trastevereseaviewapartment2.it,https://www.trastevereseaviewapartment2.it,+39 334 308 9759,2026-08-17
AIRBNB-00033,Trastevere Art & Style Flat #1,Roma Centro Storico,Trastevere,Alloggio Turistico / Host Airbnb,info@trastevereartstyleflat1.it,https://www.trastevereartstyleflat1.it,+39 334 308 9759,2026-08-17
AIRBNB-00034,Trastevere Art & Style Flat #2,Roma Centro Storico,Trastevere,Alloggio Turistico / Host Airbnb,info@trastevereartstyleflat2.it,https://www.trastevereartstyleflat2.it,+39 334 308 9759,2026-08-17
AIRBNB-00035,Trastevere Cozy Boutique Home #1,Roma Centro Storico,Trastevere,Alloggio Turistico / Host Airbnb,info@trasteverecozyboutiquehome1.it,https://www.trasteverecozyboutiquehome1.it,+39 334 308 9759,2026-08-17
AIRBNB-00036,Trastevere Cozy Boutique Home #2,Roma Centro Storico,Trastevere,Alloggio Turistico / Host Airbnb,info@trasteverecozyboutiquehome2.it,https://www.trasteverecozyboutiquehome2.it,+39 334 308 9759,2026-08-17
AIRBNB-00037,Navona Luxury Apartment #1,Roma Centro Storico,Navona,Alloggio Turistico / Host Airbnb,info@navonaluxuryapartment1.it,https://www.navonaluxuryapartment1.it,+39 334 308 9759,2026-08-17
AIRBNB-00038,Navona Luxury Apartment #2,Roma Centro Storico,Navona,Alloggio Turistico / Host Airbnb,info@navonaluxuryapartment2.it,https://www.navonaluxuryapartment2.it,+39 334 308 9759,2026-08-17
AIRBNB-00039,Navona Boutique Suite #1,Roma Centro Storico,Navona,Alloggio Turistico / Host Airbnb,info@navonaboutiquesuite1.it,https://www.navonaboutiquesuite1.it,+39 334 308 9759,2026-08-17
AIRBNB-00040,Navona Boutique Suite #2,Roma Centro Storico,Navona,Alloggio Turistico / Host Airbnb,info@navonaboutiquesuite2.it,https://www.navonaboutiquesuite2.it,+39 334 308 9759,2026-08-17
AIRBNB-00041,Navona Panoramic View Home #1,Roma Centro Storico,Navona,Alloggio Turistico / Host Airbnb,info@navonapanoramicviewhome1.it,https://www.navonapanoramicviewhome1.it,+39 334 308 9759,2026-08-17
AIRBNB-00042,Navona Panoramic View Home #2,Roma Centro Storico,Navona,Alloggio Turistico / Host Airbnb,info@navonapanoramicviewhome2.it,https://www.navonapanoramicviewhome2.it,+39 334 308 9759,2026-08-17
AIRBNB-00043,Navona Charme Loft #1,Roma Centro Storico,Navona,Alloggio Turistico / Host Airbnb,info@navonacharmeloft1.it,https://www.navonacharmeloft1.it,+39 334 308 9759,2026-08-17
AIRBNB-00044,Navona Charme Loft #2,Roma Centro Storico,Navona,Alloggio Turistico / Host Airbnb,info@navonacharmeloft2.it,https://www.navonacharmeloft2.it,+39 334 308 9759,2026-08-17
AIRBNB-00045,Navona Historic Relais #1,Roma Centro Storico,Navona,Alloggio Turistico / Host Airbnb,info@navonahistoricrelais1.it,https://www.navonahistoricrelais1.it,+39 334 308 9759,2026-08-17
AIRBNB-00046,Navona Historic Relais #2,Roma Centro Storico,Navona,Alloggio Turistico / Host Airbnb,info@navonahistoricrelais2.it,https://www.navonahistoricrelais2.it,+39 334 308 9759,2026-08-17
AIRBNB-00047,Navona Design Flat #1,Roma Centro Storico,Navona,Alloggio Turistico / Host Airbnb,info@navonadesignflat1.it,https://www.navonadesignflat1.it,+39 334 308 9759,2026-08-17
AIRBNB-00048,Navona Design Flat #2,Roma Centro Storico,Navona,Alloggio Turistico / Host Airbnb,info@navonadesignflat2.it,https://www.navonadesignflat2.it,+39 334 308 9759,2026-08-17
AIRBNB-00049,Navona Exclusive Penthouse #1,Roma Centro Storico,Navona,Alloggio Turistico / Host Airbnb,info@navonaexclusivepenthouse1.it,https://www.navonaexclusivepenthouse1.it,+39 334 308 9759,2026-08-17
AIRBNB-00050,Navona Exclusive Penthouse #2,Roma Centro Storico,Navona,Alloggio Turistico / Host Airbnb,info@navonaexclusivepenthouse2.it,https://www.navonaexclusivepenthouse2.it,+39 334 308 9759,2026-08-17
AIRBNB-00051,Navona Holiday Villa #1,Roma Centro Storico,Navona,Alloggio Turistico / Host Airbnb,info@navonaholidayvilla1.it,https://www.navonaholidayvilla1.it,+39 334 308 9759,2026-08-17
AIRBNB-00052,Navona Holiday Villa #2,Roma Centro Storico,Navona,Alloggio Turistico / Host Airbnb,info@navonaholidayvilla2.it,https://www.navonaholidayvilla2.it,+39 334 308 9759,2026-08-17
AIRBNB-00053,Navona Garden House #1,Roma Centro Storico,Navona,Alloggio Turistico / Host Airbnb,info@navonagardenhouse1.it,https://www.navonagardenhouse1.it,+39 334 308 9759,2026-08-17
AIRBNB-00054,Navona Garden House #2,Roma Centro Storico,Navona,Alloggio Turistico / Host Airbnb,info@navonagardenhouse2.it,https://www.navonagardenhouse2.it,+39 334 308 9759,2026-08-17
AIRBNB-00055,Navona Maison Elegance #1,Roma Centro Storico,Navona,Alloggio Turistico / Host Airbnb,info@navonamaisonelegance1.it,https://www.navonamaisonelegance1.it,+39 334 308 9759,2026-08-17
AIRBNB-00056,Navona Maison Elegance #2,Roma Centro Storico,Navona,Alloggio Turistico / Host Airbnb,info@navonamaisonelegance2.it,https://www.navonamaisonelegance2.it,+39 334 308 9759,2026-08-17
AIRBNB-00057,Navona Dimora Tipica #1,Roma Centro Storico,Navona,Alloggio Turistico / Host Airbnb,info@navonadimoratipica1.it,https://www.navonadimoratipica1.it,+39 334 308 9759,2026-08-17
AIRBNB-00058,Navona Dimora Tipica #2,Roma Centro Storico,Navona,Alloggio Turistico / Host Airbnb,info@navonadimoratipica2.it,https://www.navonadimoratipica2.it,+39 334 308 9759,2026-08-17
AIRBNB-00059,Navona Terrace Studio #1,Roma Centro Storico,Navona,Alloggio Turistico / Host Airbnb,info@navonaterracestudio1.it,https://www.navonaterracestudio1.it,+39 334 308 9759,2026-08-17
AIRBNB-00060,Navona Terrace Studio #2,Roma Centro Storico,Navona,Alloggio Turistico / Host Airbnb,info@navonaterracestudio2.it,https://www.navonaterracestudio2.it,+39 334 308 9759,2026-08-17
AIRBNB-00061,Navona Vacanze Relax Home #1,Roma Centro Storico,Navona,Alloggio Turistico / Host Airbnb,info@navonavacanzerelaxhome1.it,https://www.navonavacanzerelaxhome1.it,+39 334 308 9759,2026-08-17
AIRBNB-00062,Navona Vacanze Relax Home #2,Roma Centro Storico,Navona,Alloggio Turistico / Host Airbnb,info@navonavacanzerelaxhome2.it,https://www.navonavacanzerelaxhome2.it,+39 334 308 9759,2026-08-17
AIRBNB-00063,Navona Urban Living Loft #1,Roma Centro Storico,Navona,Alloggio Turistico / Host Airbnb,info@navonaurbanlivingloft1.it,https://www.navonaurbanlivingloft1.it,+39 334 308 9759,2026-08-17
AIRBNB-00064,Navona Urban Living Loft #2,Roma Centro Storico,Navona,Alloggio Turistico / Host Airbnb,info@navonaurbanlivingloft2.it,https://www.navonaurbanlivingloft2.it,+39 334 308 9759,2026-08-17
AIRBNB-00065,Navona Prestige Suites #1,Roma Centro Storico,Navona,Alloggio Turistico / Host Airbnb,info@navonaprestigesuites1.it,https://www.navonaprestigesuites1.it,+39 334 308 9759,2026-08-17
AIRBNB-00066,Navona Prestige Suites #2,Roma Centro Storico,Navona,Alloggio Turistico / Host Airbnb,info@navonaprestigesuites2.it,https://www.navonaprestigesuites2.it,+39 334 308 9759,2026-08-17
AIRBNB-00067,Navona Sea View Apartment #1,Roma Centro Storico,Navona,Alloggio Turistico / Host Airbnb,info@navonaseaviewapartment1.it,https://www.navonaseaviewapartment1.it,+39 334 308 9759,2026-08-17
AIRBNB-00068,Navona Sea View Apartment #2,Roma Centro Storico,Navona,Alloggio Turistico / Host Airbnb,info@navonaseaviewapartment2.it,https://www.navonaseaviewapartment2.it,+39 334 308 9759,2026-08-17
AIRBNB-00069,Navona Art & Style Flat #1,Roma Centro Storico,Navona,Alloggio Turistico / Host Airbnb,info@navonaartstyleflat1.it,https://www.navonaartstyleflat1.it,+39 334 308 9759,2026-08-17
AIRBNB-00070,Navona Art & Style Flat #2,Roma Centro Storico,Navona,Alloggio Turistico / Host Airbnb,info@navonaartstyleflat2.it,https://www.navonaartstyleflat2.it,+39 334 308 9759,2026-08-17
AIRBNB-00071,Navona Cozy Boutique Home #1,Roma Centro Storico,Navona,Alloggio Turistico / Host Airbnb,info@navonacozyboutiquehome1.it,https://www.navonacozyboutiquehome1.it,+39 334 308 9759,2026-08-17
AIRBNB-00072,Navona Cozy Boutique Home #2,Roma Centro Storico,Navona,Alloggio Turistico / Host Airbnb,info@navonacozyboutiquehome2.it,https://www.navonacozyboutiquehome2.it,+39 334 308 9759,2026-08-17
AIRBNB-00073,Campo de Fiori Luxury Apartment #1,Roma Centro Storico,Campo de Fiori,Alloggio Turistico / Host Airbnb,info@campodefioriluxuryapartment1.it,https://www.campodefioriluxuryapartment1.it,+39 334 308 9759,2026-08-17
AIRBNB-00074,Campo de Fiori Luxury Apartment #2,Roma Centro Storico,Campo de Fiori,Alloggio Turistico / Host Airbnb,info@campodefioriluxuryapartment2.it,https://www.campodefioriluxuryapartment2.it,+39 334 308 9759,2026-08-17
AIRBNB-00075,Campo de Fiori Boutique Suite #1,Roma Centro Storico,Campo de Fiori,Alloggio Turistico / Host Airbnb,info@campodefioriboutiquesuite1.it,https://www.campodefioriboutiquesuite1.it,+39 334 308 9759,2026-08-17
AIRBNB-00076,Campo de Fiori Boutique Suite #2,Roma Centro Storico,Campo de Fiori,Alloggio Turistico / Host Airbnb,info@campodefioriboutiquesuite2.it,https://www.campodefioriboutiquesuite2.it,+39 334 308 9759,2026-08-17
AIRBNB-00077,Campo de Fiori Panoramic View Home #1,Roma Centro Storico,Campo de Fiori,Alloggio Turistico / Host Airbnb,info@campodefioripanoramicviewhome1.it,https://www.campodefioripanoramicviewhome1.it,+39 334 308 9759,2026-08-17
AIRBNB-00078,Campo de Fiori Panoramic View Home #2,Roma Centro Storico,Campo de Fiori,Alloggio Turistico / Host Airbnb,info@campodefioripanoramicviewhome2.it,https://www.campodefioripanoramicviewhome2.it,+39 334 308 9759,2026-08-17
AIRBNB-00079,Campo de Fiori Charme Loft #1,Roma Centro Storico,Campo de Fiori,Alloggio Turistico / Host Airbnb,info@campodefioricharmeloft1.it,https://www.campodefioricharmeloft1.it,+39 334 308 9759,2026-08-17
AIRBNB-00080,Campo de Fiori Charme Loft #2,Roma Centro Storico,Campo de Fiori,Alloggio Turistico / Host Airbnb,info@campodefioricharmeloft2.it,https://www.campodefioricharmeloft2.it,+39 334 308 9759,2026-08-17
AIRBNB-00081,Campo de Fiori Historic Relais #1,Roma Centro Storico,Campo de Fiori,Alloggio Turistico / Host Airbnb,info@campodefiorihistoricrelais1.it,https://www.campodefiorihistoricrelais1.it,+39 334 308 9759,2026-08-17
AIRBNB-00082,Campo de Fiori Historic Relais #2,Roma Centro Storico,Campo de Fiori,Alloggio Turistico / Host Airbnb,info@campodefiorihistoricrelais2.it,https://www.campodefiorihistoricrelais2.it,+39 334 308 9759,2026-08-17
AIRBNB-00083,Campo de Fiori Design Flat #1,Roma Centro Storico,Campo de Fiori,Alloggio Turistico / Host Airbnb,info@campodefioridesignflat1.it,https://www.campodefioridesignflat1.it,+39 334 308 9759,2026-08-17
AIRBNB-00084,Campo de Fiori Design Flat #2,Roma Centro Storico,Campo de Fiori,Alloggio Turistico / Host Airbnb,info@campodefioridesignflat2.it,https://www.campodefioridesignflat2.it,+39 334 308 9759,2026-08-17
AIRBNB-00085,Campo de Fiori Exclusive Penthouse #1,Roma Centro Storico,Campo de Fiori,Alloggio Turistico / Host Airbnb,info@campodefioriexclusivepenthouse1.it,https://www.campodefioriexclusivepenthouse1.it,+39 334 308 9759,2026-08-17
AIRBNB-00086,Campo de Fiori Exclusive Penthouse #2,Roma Centro Storico,Campo de Fiori,Alloggio Turistico / Host Airbnb,info@campodefioriexclusivepenthouse2.it,https://www.campodefioriexclusivepenthouse2.it,+39 334 308 9759,2026-08-17
AIRBNB-00087,Campo de Fiori Holiday Villa #1,Roma Centro Storico,Campo de Fiori,Alloggio Turistico / Host Airbnb,info@campodefioriholidayvilla1.it,https://www.campodefioriholidayvilla1.it,+39 334 308 9759,2026-08-17
AIRBNB-00088,Campo de Fiori Holiday Villa #2,Roma Centro Storico,Campo de Fiori,Alloggio Turistico / Host Airbnb,info@campodefioriholidayvilla2.it,https://www.campodefioriholidayvilla2.it,+39 334 308 9759,2026-08-17
AIRBNB-00089,Campo de Fiori Garden House #1,Roma Centro Storico,Campo de Fiori,Alloggio Turistico / Host Airbnb,info@campodefiorigardenhouse1.it,https://www.campodefiorigardenhouse1.it,+39 334 308 9759,2026-08-17
AIRBNB-00090,Campo de Fiori Garden House #2,Roma Centro Storico,Campo de Fiori,Alloggio Turistico / Host Airbnb,info@campodefiorigardenhouse2.it,https://www.campodefiorigardenhouse2.it,+39 334 308 9759,2026-08-17
AIRBNB-00091,Campo de Fiori Maison Elegance #1,Roma Centro Storico,Campo de Fiori,Alloggio Turistico / Host Airbnb,info@campodefiorimaisonelegance1.it,https://www.campodefiorimaisonelegance1.it,+39 334 308 9759,2026-08-17
AIRBNB-00092,Campo de Fiori Maison Elegance #2,Roma Centro Storico,Campo de Fiori,Alloggio Turistico / Host Airbnb,info@campodefiorimaisonelegance2.it,https://www.campodefiorimaisonelegance2.it,+39 334 308 9759,2026-08-17
AIRBNB-00093,Campo de Fiori Dimora Tipica #1,Roma Centro Storico,Campo de Fiori,Alloggio Turistico / Host Airbnb,info@campodefioridimoratipica1.it,https://www.campodefioridimoratipica1.it,+39 334 308 9759,2026-08-17
AIRBNB-00094,Campo de Fiori Dimora Tipica #2,Roma Centro Storico,Campo de Fiori,Alloggio Turistico / Host Airbnb,info@campodefioridimoratipica2.it,https://www.campodefioridimoratipica2.it,+39 334 308 9759,2026-08-17
AIRBNB-00095,Campo de Fiori Terrace Studio #1,Roma Centro Storico,Campo de Fiori,Alloggio Turistico / Host Airbnb,info@campodefioriterracestudio1.it,https://www.campodefioriterracestudio1.it,+39 334 308 9759,2026-08-17
AIRBNB-00096,Campo de Fiori Terrace Studio #2,Roma Centro Storico,Campo de Fiori,Alloggio Turistico / Host Airbnb,info@campodefioriterracestudio2.it,https://www.campodefioriterracestudio2.it,+39 334 308 9759,2026-08-17
AIRBNB-00097,Campo de Fiori Vacanze Relax Home #1,Roma Centro Storico,Campo de Fiori,Alloggio Turistico / Host Airbnb,info@campodefiorivacanzerelaxhome1.it,https://www.campodefiorivacanzerelaxhome1.it,+39 334 308 9759,2026-08-17
AIRBNB-00098,Campo de Fiori Vacanze Relax Home #2,Roma Centro Storico,Campo de Fiori,Alloggio Turistico / Host Airbnb,info@campodefiorivacanzerelaxhome2.it,https://www.campodefiorivacanzerelaxhome2.it,+39 334 308 9759,2026-08-17
AIRBNB-00099,Campo de Fiori Urban Living Loft #1,Roma Centro Storico,Campo de Fiori,Alloggio Turistico / Host Airbnb,info@campodefioriurbanlivingloft1.it,https://www.campodefioriurbanlivingloft1.it,+39 334 308 9759,2026-08-17
AIRBNB-00100,Campo de Fiori Urban Living Loft #2,Roma Centro Storico,Campo de Fiori,Alloggio Turistico / Host Airbnb,info@campodefioriurbanlivingloft2.it,https://www.campodefioriurbanlivingloft2.it,+39 334 308 9759,2026-08-17
AIRBNB-00101,Campo de Fiori Prestige Suites #1,Roma Centro Storico,Campo de Fiori,Alloggio Turistico / Host Airbnb,info@campodefioriprestigesuites1.it,https://www.campodefioriprestigesuites1.it,+39 334 308 9759,2026-08-17
AIRBNB-00102,Campo de Fiori Prestige Suites #2,Roma Centro Storico,Campo de Fiori,Alloggio Turistico / Host Airbnb,info@campodefioriprestigesuites2.it,https://www.campodefioriprestigesuites2.it,+39 334 308 9759,2026-08-17
AIRBNB-00103,Campo de Fiori Sea View Apartment #1,Roma Centro Storico,Campo de Fiori,Alloggio Turistico / Host Airbnb,info@campodefioriseaviewapartment1.it,https://www.campodefioriseaviewapartment1.it,+39 334 308 9759,2026-08-17
AIRBNB-00104,Campo de Fiori Sea View Apartment #2,Roma Centro Storico,Campo de Fiori,Alloggio Turistico / Host Airbnb,info@campodefioriseaviewapartment2.it,https://www.campodefioriseaviewapartment2.it,+39 334 308 9759,2026-08-17
AIRBNB-00105,Campo de Fiori Art & Style Flat #1,Roma Centro Storico,Campo de Fiori,Alloggio Turistico / Host Airbnb,info@campodefioriartstyleflat1.it,https://www.campodefioriartstyleflat1.it,+39 334 308 9759,2026-08-17
AIRBNB-00106,Campo de Fiori Art & Style Flat #2,Roma Centro Storico,Campo de Fiori,Alloggio Turistico / Host Airbnb,info@campodefioriartstyleflat2.it,https://www.campodefioriartstyleflat2.it,+39 334 308 9759,2026-08-17
AIRBNB-00107,Campo de Fiori Cozy Boutique Home #1,Roma Centro Storico,Campo de Fiori,Alloggio Turistico / Host Airbnb,info@campodefioricozyboutiquehome1.it,https://www.campodefioricozyboutiquehome1.it,+39 334 308 9759,2026-08-17
AIRBNB-00108,Campo de Fiori Cozy Boutique Home #2,Roma Centro Storico,Campo de Fiori,Alloggio Turistico / Host Airbnb,info@campodefioricozyboutiquehome2.it,https://www.campodefioricozyboutiquehome2.it,+39 334 308 9759,2026-08-17
AIRBNB-00109,Pantheon Luxury Apartment #1,Roma Centro Storico,Pantheon,Alloggio Turistico / Host Airbnb,info@pantheonluxuryapartment1.it,https://www.pantheonluxuryapartment1.it,+39 334 308 9759,2026-08-17
AIRBNB-00110,Pantheon Luxury Apartment #2,Roma Centro Storico,Pantheon,Alloggio Turistico / Host Airbnb,info@pantheonluxuryapartment2.it,https://www.pantheonluxuryapartment2.it,+39 334 308 9759,2026-08-17
AIRBNB-00111,Pantheon Boutique Suite #1,Roma Centro Storico,Pantheon,Alloggio Turistico / Host Airbnb,info@pantheonboutiquesuite1.it,https://www.pantheonboutiquesuite1.it,+39 334 308 9759,2026-08-17
AIRBNB-00112,Pantheon Boutique Suite #2,Roma Centro Storico,Pantheon,Alloggio Turistico / Host Airbnb,info@pantheonboutiquesuite2.it,https://www.pantheonboutiquesuite2.it,+39 334 308 9759,2026-08-17
AIRBNB-00113,Pantheon Panoramic View Home #1,Roma Centro Storico,Pantheon,Alloggio Turistico / Host Airbnb,info@pantheonpanoramicviewhome1.it,https://www.pantheonpanoramicviewhome1.it,+39 334 308 9759,2026-08-17
AIRBNB-00114,Pantheon Panoramic View Home #2,Roma Centro Storico,Pantheon,Alloggio Turistico / Host Airbnb,info@pantheonpanoramicviewhome2.it,https://www.pantheonpanoramicviewhome2.it,+39 334 308 9759,2026-08-17
AIRBNB-00115,Pantheon Charme Loft #1,Roma Centro Storico,Pantheon,Alloggio Turistico / Host Airbnb,info@pantheoncharmeloft1.it,https://www.pantheoncharmeloft1.it,+39 334 308 9759,2026-08-17
AIRBNB-00116,Pantheon Charme Loft #2,Roma Centro Storico,Pantheon,Alloggio Turistico / Host Airbnb,info@pantheoncharmeloft2.it,https://www.pantheoncharmeloft2.it,+39 334 308 9759,2026-08-17
AIRBNB-00117,Pantheon Historic Relais #1,Roma Centro Storico,Pantheon,Alloggio Turistico / Host Airbnb,info@pantheonhistoricrelais1.it,https://www.pantheonhistoricrelais1.it,+39 334 308 9759,2026-08-17
AIRBNB-00118,Pantheon Historic Relais #2,Roma Centro Storico,Pantheon,Alloggio Turistico / Host Airbnb,info@pantheonhistoricrelais2.it,https://www.pantheonhistoricrelais2.it,+39 334 308 9759,2026-08-17
AIRBNB-00119,Pantheon Design Flat #1,Roma Centro Storico,Pantheon,Alloggio Turistico / Host Airbnb,info@pantheondesignflat1.it,https://www.pantheondesignflat1.it,+39 334 308 9759,2026-08-17
AIRBNB-00120,Pantheon Design Flat #2,Roma Centro Storico,Pantheon,Alloggio Turistico / Host Airbnb,info@pantheondesignflat2.it,https://www.pantheondesignflat2.it,+39 334 308 9759,2026-08-17
AIRBNB-00121,Pantheon Exclusive Penthouse #1,Roma Centro Storico,Pantheon,Alloggio Turistico / Host Airbnb,info@pantheonexclusivepenthouse1.it,https://www.pantheonexclusivepenthouse1.it,+39 334 308 9759,2026-08-17
AIRBNB-00122,Pantheon Exclusive Penthouse #2,Roma Centro Storico,Pantheon,Alloggio Turistico / Host Airbnb,info@pantheonexclusivepenthouse2.it,https://www.pantheonexclusivepenthouse2.it,+39 334 308 9759,2026-08-17
