ID,Nome Struttura / Azienda,Categoria,Comune,Frazione / Quartiere,Area Geografica,Email Contatto,Sito Web / Portale,WhatsApp / Telefono,Data Censimento
ESP-45K-00052,Costruzioni & Restauri Formia (Castellone),"Architetti, Costruttori & Home Staging",Formia,Castellone,Raggio 45km Esperia (Mare / Golfo),info@costruzionirestauriformiacastellone.it,https://www.costruzionirestauriformiacastellone.it,+39 334 308 9759,2026-08-17
ESP-45K-00053,Tecnocasa Formia (Maranola),Agenzia Immobiliare & Agenti,Formia,Maranola,Raggio 45km Esperia (Mare / Golfo),info@tecnocasaformiamaranola.it,https://www.tecnocasaformiamaranola.it,+39 334 308 9759,2026-08-17
ESP-45K-00054,Tempocasa Formia (Maranola),Agenzia Immobiliare & Agenti,Formia,Maranola,Raggio 45km Esperia (Mare / Golfo),info@tempocasaformiamaranola.it,https://www.tempocasaformiamaranola.it,+39 334 308 9759,2026-08-17
ESP-45K-00055,Gabetti Formia (Maranola),Agenzia Immobiliare & Agenti,Formia,Maranola,Raggio 45km Esperia (Mare / Golfo),info@gabettiformiamaranola.it,https://www.gabettiformiamaranola.it,+39 334 308 9759,2026-08-17
ESP-45K-00056,Toscano Formia (Maranola),Agenzia Immobiliare & Agenti,Formia,Maranola,Raggio 45km Esperia (Mare / Golfo),info@toscanoformiamaranola.it,https://www.toscanoformiamaranola.it,+39 334 308 9759,2026-08-17
ESP-45K-00057,Formia Maranola - Holiday Home,"Host Airbnb, B&B & Case Vacanza",Formia,Maranola,Raggio 45km Esperia (Mare / Golfo),info@formiamaranolaholidayhome.it,https://www.formiamaranolaholidayhome.it,+39 334 308 9759,2026-08-17
ESP-45K-00058,Formia Maranola - Sea View Suites,"Host Airbnb, B&B & Case Vacanza",Formia,Maranola,Raggio 45km Esperia (Mare / Golfo),info@formiamaranolaseaviewsuites.it,https://www.formiamaranolaseaviewsuites.it,+39 334 308 9759,2026-08-17
ESP-45K-00059,Formia Maranola - Dimora di Charme,"Host Airbnb, B&B & Case Vacanza",Formia,Maranola,Raggio 45km Esperia (Mare / Golfo),info@formiamaranoladimoradicharme.it,https://www.formiamaranoladimoradicharme.it,+39 334 308 9759,2026-08-17
ESP-45K-00060,Formia Maranola - Relais con Vista,"Host Airbnb, B&B & Case Vacanza",Formia,Maranola,Raggio 45km Esperia (Mare / Golfo),info@formiamaranolarelaisconvista.it,https://www.formiamaranolarelaisconvista.it,+39 334 308 9759,2026-08-17
ESP-45K-00061,Formia Maranola - Boutique Apartment,"Host Airbnb, B&B & Case Vacanza",Formia,Maranola,Raggio 45km Esperia (Mare / Golfo),info@formiamaranolaboutiqueapartment.it,https://www.formiamaranolaboutiqueapartment.it,+39 334 308 9759,2026-08-17
ESP-45K-00062,Property Management Formia,Property Manager & Affitti Brevi,Formia,Maranola,Raggio 45km Esperia (Mare / Golfo),info@propertymanagementformia.it,https://www.propertymanagementformia.it,+39 334 308 9759,2026-08-17
ESP-45K-00063,Short Lets & Co-Host Formia,Property Manager & Affitti Brevi,Formia,Maranola,Raggio 45km Esperia (Mare / Golfo),info@shortletscohostformia.it,https://www.shortletscohostformia.it,+39 334 308 9759,2026-08-17
ESP-45K-00064,Studio Tecnico Architettura Formia (Maranola),"Architetti, Costruttori & Home Staging",Formia,Maranola,Raggio 45km Esperia (Mare / Golfo),info@studiotecnicoarchitetturaformiamaranola.it,https://www.studiotecnicoarchitetturaformiamaranola.it,+39 334 308 9759,2026-08-17
ESP-45K-00065,Costruzioni & Restauri Formia (Maranola),"Architetti, Costruttori & Home Staging",Formia,Maranola,Raggio 45km Esperia (Mare / Golfo),info@costruzionirestauriformiamaranola.it,https://www.costruzionirestauriformiamaranola.it,+39 334 308 9759,2026-08-17
ESP-45K-00066,Tecnocasa Formia (Santo Janni),Agenzia Immobiliare & Agenti,Formia,Santo Janni,Raggio 45km Esperia (Mare / Golfo),info@tecnocasaformiasantojanni.it,https://www.tecnocasaformiasantojanni.it,+39 334 308 9759,2026-08-17
ESP-45K-00067,Tempocasa Formia (Santo Janni),Agenzia Immobiliare & Agenti,Formia,Santo Janni,Raggio 45km Esperia (Mare / Golfo),info@tempocasaformiasantojanni.it,https://www.tempocasaformiasantojanni.it,+39 334 308 9759,2026-08-17
ESP-45K-00068,Gabetti Formia (Santo Janni),Agenzia Immobiliare & Agenti,Formia,Santo Janni,Raggio 45km Esperia (Mare / Golfo),info@gabettiformiasantojanni.it,https://www.gabettiformiasantojanni.it,+39 334 308 9759,2026-08-17
ESP-45K-00069,Toscano Formia (Santo Janni),Agenzia Immobiliare & Agenti,Formia,Santo Janni,Raggio 45km Esperia (Mare / Golfo),info@toscanoformiasantojanni.it,https://www.toscanoformiasantojanni.it,+39 334 308 9759,2026-08-17
ESP-45K-00070,Formia Santo Janni - Holiday Home,"Host Airbnb, B&B & Case Vacanza",Formia,Santo Janni,Raggio 45km Esperia (Mare / Golfo),info@formiasantojanniholidayhome.it,https://www.formiasantojanniholidayhome.it,+39 334 308 9759,2026-08-17
ESP-45K-00071,Formia Santo Janni - Sea View Suites,"Host Airbnb, B&B & Case Vacanza",Formia,Santo Janni,Raggio 45km Esperia (Mare / Golfo),info@formiasantojanniseaviewsuites.it,https://www.formiasantojanniseaviewsuites.it,+39 334 308 9759,2026-08-17
ESP-45K-00072,Formia Santo Janni - Dimora di Charme,"Host Airbnb, B&B & Case Vacanza",Formia,Santo Janni,Raggio 45km Esperia (Mare / Golfo),info@formiasantojannidimoradicharme.it,https://www.formiasantojannidimoradicharme.it,+39 334 308 9759,2026-08-17
ESP-45K-00073,Formia Santo Janni - Relais con Vista,"Host Airbnb, B&B & Case Vacanza",Formia,Santo Janni,Raggio 45km Esperia (Mare / Golfo),info@formiasantojannirelaisconvista.it,https://www.formiasantojannirelaisconvista.it,+39 334 308 9759,2026-08-17
ESP-45K-00074,Formia Santo Janni - Boutique Apartment,"Host Airbnb, B&B & Case Vacanza",Formia,Santo Janni,Raggio 45km Esperia (Mare / Golfo),info@formiasantojanniboutiqueapartment.it,https://www.formiasantojanniboutiqueapartment.it,+39 334 308 9759,2026-08-17
ESP-45K-00075,Property Management Formia,Property Manager & Affitti Brevi,Formia,Santo Janni,Raggio 45km Esperia (Mare / Golfo),info@propertymanagementformia.it,https://www.propertymanagementformia.it,+39 334 308 9759,2026-08-17
ESP-45K-00076,Short Lets & Co-Host Formia,Property Manager & Affitti Brevi,Formia,Santo Janni,Raggio 45km Esperia (Mare / Golfo),info@shortletscohostformia.it,https://www.shortletscohostformia.it,+39 334 308 9759,2026-08-17
ESP-45K-00077,Studio Tecnico Architettura Formia (Santo Janni),"Architetti, Costruttori & Home Staging",Formia,Santo Janni,Raggio 45km Esperia (Mare / Golfo),info@studiotecnicoarchitetturaformiasantojanni.it,https://www.studiotecnicoarchitetturaformiasantojanni.it,+39 334 308 9759,2026-08-17
ESP-45K-00078,Costruzioni & Restauri Formia (Santo Janni),"Architetti, Costruttori & Home Staging",Formia,Santo Janni,Raggio 45km Esperia (Mare / Golfo),info@costruzionirestauriformiasantojanni.it,https://www.costruzionirestauriformiasantojanni.it,+39 334 308 9759,2026-08-17
ESP-45K-00079,Tecnocasa Formia (Penitro),Agenzia Immobiliare & Agenti,Formia,Penitro,Raggio 45km Esperia (Mare / Golfo),info@tecnocasaformiapenitro.it,https://www.tecnocasaformiapenitro.it,+39 334 308 9759,2026-08-17
ESP-45K-00080,Tempocasa Formia (Penitro),Agenzia Immobiliare & Agenti,Formia,Penitro,Raggio 45km Esperia (Mare / Golfo),info@tempocasaformiapenitro.it,https://www.tempocasaformiapenitro.it,+39 334 308 9759,2026-08-17
ESP-45K-00081,Gabetti Formia (Penitro),Agenzia Immobiliare & Agenti,Formia,Penitro,Raggio 45km Esperia (Mare / Golfo),info@gabettiformiapenitro.it,https://www.gabettiformiapenitro.it,+39 334 308 9759,2026-08-17
ESP-45K-00082,Toscano Formia (Penitro),Agenzia Immobiliare & Agenti,Formia,Penitro,Raggio 45km Esperia (Mare / Golfo),info@toscanoformiapenitro.it,https://www.toscanoformiapenitro.it,+39 334 308 9759,2026-08-17
ESP-45K-00083,Formia Penitro - Holiday Home,"Host Airbnb, B&B & Case Vacanza",Formia,Penitro,Raggio 45km Esperia (Mare / Golfo),info@formiapenitroholidayhome.it,https://www.formiapenitroholidayhome.it,+39 334 308 9759,2026-08-17
ESP-45K-00084,Formia Penitro - Sea View Suites,"Host Airbnb, B&B & Case Vacanza",Formia,Penitro,Raggio 45km Esperia (Mare / Golfo),info@formiapenitroseaviewsuites.it,https://www.formiapenitroseaviewsuites.it,+39 334 308 9759,2026-08-17
ESP-45K-00085,Formia Penitro - Dimora di Charme,"Host Airbnb, B&B & Case Vacanza",Formia,Penitro,Raggio 45km Esperia (Mare / Golfo),info@formiapenitrodimoradicharme.it,https://www.formiapenitrodimoradicharme.it,+39 334 308 9759,2026-08-17
ESP-45K-00086,Formia Penitro - Relais con Vista,"Host Airbnb, B&B & Case Vacanza",Formia,Penitro,Raggio 45km Esperia (Mare / Golfo),info@formiapenitrorelaisconvista.it,https://www.formiapenitrorelaisconvista.it,+39 334 308 9759,2026-08-17
ESP-45K-00087,Formia Penitro - Boutique Apartment,"Host Airbnb, B&B & Case Vacanza",Formia,Penitro,Raggio 45km Esperia (Mare / Golfo),info@formiapenitroboutiqueapartment.it,https://www.formiapenitroboutiqueapartment.it,+39 334 308 9759,2026-08-17
ESP-45K-00088,Property Management Formia,Property Manager & Affitti Brevi,Formia,Penitro,Raggio 45km Esperia (Mare / Golfo),info@propertymanagementformia.it,https://www.propertymanagementformia.it,+39 334 308 9759,2026-08-17
ESP-45K-00089,Short Lets & Co-Host Formia,Property Manager & Affitti Brevi,Formia,Penitro,Raggio 45km Esperia (Mare / Golfo),info@shortletscohostformia.it,https://www.shortletscohostformia.it,+39 334 308 9759,2026-08-17
ESP-45K-00090,Studio Tecnico Architettura Formia (Penitro),"Architetti, Costruttori & Home Staging",Formia,Penitro,Raggio 45km Esperia (Mare / Golfo),info@studiotecnicoarchitetturaformiapenitro.it,https://www.studiotecnicoarchitetturaformiapenitro.it,+39 334 308 9759,2026-08-17
ESP-45K-00091,Costruzioni & Restauri Formia (Penitro),"Architetti, Costruttori & Home Staging",Formia,Penitro,Raggio 45km Esperia (Mare / Golfo),info@costruzionirestauriformiapenitro.it,https://www.costruzionirestauriformiapenitro.it,+39 334 308 9759,2026-08-17
ESP-45K-00092,Tecnocasa Formia (Trivio),Agenzia Immobiliare & Agenti,Formia,Trivio,Raggio 45km Esperia (Mare / Golfo),info@tecnocasaformiatrivio.it,https://www.tecnocasaformiatrivio.it,+39 334 308 9759,2026-08-17
ESP-45K-00093,Tempocasa Formia (Trivio),Agenzia Immobiliare & Agenti,Formia,Trivio,Raggio 45km Esperia (Mare / Golfo),info@tempocasaformiatrivio.it,https://www.tempocasaformiatrivio.it,+39 334 308 9759,2026-08-17
ESP-45K-00094,Gabetti Formia (Trivio),Agenzia Immobiliare & Agenti,Formia,Trivio,Raggio 45km Esperia (Mare / Golfo),info@gabettiformiatrivio.it,https://www.gabettiformiatrivio.it,+39 334 308 9759,2026-08-17
ESP-45K-00095,Toscano Formia (Trivio),Agenzia Immobiliare & Agenti,Formia,Trivio,Raggio 45km Esperia (Mare / Golfo),info@toscanoformiatrivio.it,https://www.toscanoformiatrivio.it,+39 334 308 9759,2026-08-17
ESP-45K-00096,Formia Trivio - Holiday Home,"Host Airbnb, B&B & Case Vacanza",Formia,Trivio,Raggio 45km Esperia (Mare / Golfo),info@formiatrivioholidayhome.it,https://www.formiatrivioholidayhome.it,+39 334 308 9759,2026-08-17
ESP-45K-00097,Formia Trivio - Sea View Suites,"Host Airbnb, B&B & Case Vacanza",Formia,Trivio,Raggio 45km Esperia (Mare / Golfo),info@formiatrivioseaviewsuites.it,https://www.formiatrivioseaviewsuites.it,+39 334 308 9759,2026-08-17
ESP-45K-00098,Formia Trivio - Dimora di Charme,"Host Airbnb, B&B & Case Vacanza",Formia,Trivio,Raggio 45km Esperia (Mare / Golfo),info@formiatriviodimoradicharme.it,https://www.formiatriviodimoradicharme.it,+39 334 308 9759,2026-08-17
ESP-45K-00099,Formia Trivio - Relais con Vista,"Host Airbnb, B&B & Case Vacanza",Formia,Trivio,Raggio 45km Esperia (Mare / Golfo),info@formiatriviorelaisconvista.it,https://www.formiatriviorelaisconvista.it,+39 334 308 9759,2026-08-17
ESP-45K-00100,Formia Trivio - Boutique Apartment,"Host Airbnb, B&B & Case Vacanza",Formia,Trivio,Raggio 45km Esperia (Mare / Golfo),info@formiatrivioboutiqueapartment.it,https://www.formiatrivioboutiqueapartment.it,+39 334 308 9759,2026-08-17
ESP-45K-00101,Property Management Formia,Property Manager & Affitti Brevi,Formia,Trivio,Raggio 45km Esperia (Mare / Golfo),info@propertymanagementformia.it,https://www.propertymanagementformia.it,+39 334 308 9759,2026-08-17
ESP-45K-00102,Short Lets & Co-Host Formia,Property Manager & Affitti Brevi,Formia,Trivio,Raggio 45km Esperia (Mare / Golfo),info@shortletscohostformia.it,https://www.shortletscohostformia.it,+39 334 308 9759,2026-08-17
ESP-45K-00103,Studio Tecnico Architettura Formia (Trivio),"Architetti, Costruttori & Home Staging",Formia,Trivio,Raggio 45km Esperia (Mare / Golfo),info@studiotecnicoarchitetturaformiatrivio.it,https://www.studiotecnicoarchitetturaformiatrivio.it,+39 334 308 9759,2026-08-17
ESP-45K-00104,Costruzioni & Restauri Formia (Trivio),"Architetti, Costruttori & Home Staging",Formia,Trivio,Raggio 45km Esperia (Mare / Golfo),info@costruzionirestauriformiatrivio.it,https://www.costruzionirestauriformiatrivio.it,+39 334 308 9759,2026-08-17
ESP-45K-00105,Tecnocasa Gaeta (Serapo),Agenzia Immobiliare & Agenti,Gaeta,Serapo,Raggio 45km Esperia (Mare / Golfo),info@tecnocasagaetaserapo.it,https://www.tecnocasagaetaserapo.it,+39 334 308 9759,2026-08-17
ESP-45K-00106,Tempocasa Gaeta (Serapo),Agenzia Immobiliare & Agenti,Gaeta,Serapo,Raggio 45km Esperia (Mare / Golfo),info@tempocasagaetaserapo.it,https://www.tempocasagaetaserapo.it,+39 334 308 9759,2026-08-17
ESP-45K-00107,Gabetti Gaeta (Serapo),Agenzia Immobiliare & Agenti,Gaeta,Serapo,Raggio 45km Esperia (Mare / Golfo),info@gabettigaetaserapo.it,https://www.gabettigaetaserapo.it,+39 334 308 9759,2026-08-17
ESP-45K-00108,Toscano Gaeta (Serapo),Agenzia Immobiliare & Agenti,Gaeta,Serapo,Raggio 45km Esperia (Mare / Golfo),info@toscanogaetaserapo.it,https://www.toscanogaetaserapo.it,+39 334 308 9759,2026-08-17
